"","X1","truncHour","bin","NumObs","Species"
"1",1,0,"COTTONTAILRABBIT",2,"Cottontail Rabbit"
"2",2,0,"COYOTE",4,"Coyote"
"3",3,0,"DEERWHITETAILED",47,"White-tailed Deer"
"4",4,0,"FISHER",3,"Fisher"
"5",5,0,"FOXRED",2,"Red Fox"
"6",6,0,"OTHERSMALLMAMMAL",7,"Other Small Mammal"
"7",7,0,"PORCUPINE",4,"Porcupine"
"8",8,0,"RACCOON",12,"Raccoon"
"9",9,0,"SQUIRRELGRAY",1,"Gray Squirrel"
"10",10,1,"COYOTE",4,"Coyote"
"11",11,1,"DEERWHITETAILED",36,"White-tailed Deer"
"12",12,1,"FISHER",6,"Fisher"
"13",13,1,"OTHERSMALLMAMMAL",5,"Other Small Mammal"
"14",14,1,"PORCUPINE",2,"Porcupine"
"15",15,1,"RACCOON",4,"Raccoon"
"16",16,1,"SQUIRRELRED",2,"Red Squirrel"
"17",17,2,"BLACKBEAR",1,"Black Bear"
"18",18,2,"COTTONTAILRABBIT",2,"Cottontail Rabbit"
"19",19,2,"COYOTE",4,"Coyote"
"20",20,2,"DEERWHITETAILED",29,"White-tailed Deer"
"21",21,2,"FISHER",2,"Fisher"
"22",22,2,"FOXRED",2,"Red Fox"
"23",23,2,"OTHERSMALLMAMMAL",9,"Other Small Mammal"
"24",24,2,"PORCUPINE",3,"Porcupine"
"25",25,2,"RACCOON",11,"Raccoon"
"26",26,2,"SQUIRRELRED",1,"Red Squirrel"
"27",27,2,"WEASEL",4,"Weasel"
"28",28,3,"COTTONTAILRABBIT",1,"Cottontail Rabbit"
"29",29,3,"COYOTE",1,"Coyote"
"30",30,3,"DEERWHITETAILED",39,"White-tailed Deer"
"31",31,3,"FISHER",1,"Fisher"
"32",32,3,"FOXRED",2,"Red Fox"
"33",33,3,"OTHERSMALLMAMMAL",5,"Other Small Mammal"
"34",34,3,"PORCUPINE",5,"Porcupine"
"35",35,3,"RACCOON",9,"Raccoon"
"36",36,3,"SQUIRRELFLYING",1,"Flying Squirrel"
