"","Forest","choice","number_det","Species"
"1","Beaver Creek","BLACKBEAR",5,"Black Bear"
"2","Beaver Creek","BLUEJAY",1,"Blue Jay"
"3","Beaver Creek","BOBCAT",4,"Bobcat"
"4","Beaver Creek","COTTONTAILRABBIT",1,"Cottontail Rabbit"
"5","Beaver Creek","COYOTE",3,"Coyote"
"6","Beaver Creek","DEERWHITETAILED",185,"White-tailed Deer"
"7","Beaver Creek","FISHER",5,"Fisher"
"8","Beaver Creek","GOOSEWILD",1,"Wild Goose"
"9","Beaver Creek","GROUSERUFFED",1,"Ruffed Grouse"
"10","Beaver Creek","HUMAN",15,"Human"
"11","Beaver Creek","NOTHINGHERE",219,"Nothing Here"
"12","Beaver Creek","OTHERBIRD",1,"Other Bird"
"13","Beaver Creek","OTHERSMALLMAMMAL",3,"Other Small Mammal"
"14","Beaver Creek","PORCUPINE",29,"Porcupine"
"15","Beaver Creek","RACCOON",11,"Raccoon"
"16","Beaver Creek","SOMETHINGHERE",11,"Something Here"
"17","Beaver Creek","SQUIRRELGRAY",121,"Gray Squirrel"
"18","Beaver Creek","SQUIRRELRED",1,"Red Squirrel"
"19","Beaver Creek","TURKEY",6,"Turkey"
"20","Beaver Creek","WEASEL",1,"Weasel"
"21","Degrasse","BLUEJAY",7,"Blue Jay"
"22","Degrasse","CHIPMUNK",24,"Chipmunk"
"23","Degrasse","COTTONTAILRABBIT",9,"Cottontail Rabbit"
"24","Degrasse","COYOTE",17,"Coyote"
"25","Degrasse","DEERWHITETAILED",290,"White-tailed Deer"
"26","Degrasse","DOMESTICDOG",1,"Domestic Dog"
"27","Degrasse","FISHER",14,"Fisher"
"28","Degrasse","FOXRED",2,"Red Fox"
"29","Degrasse","GOOSEWILD",1,"Wild Goose"
"30","Degrasse","GROUSERUFFED",2,"Ruffed Grouse"
"31","Degrasse","HUMAN",9,"Human"
"32","Degrasse","MINK",1,"Mink"
"33","Degrasse","NOTHINGHERE",109,"Nothing Here"
"34","Degrasse","OPOSSUM",1,"Opossum "
"35","Degrasse","OTHERBIRD",3,"Other Bird"
"36","Degrasse","OTHERSMALLMAMMAL",9,"Other Small Mammal"
"37","Degrasse","PORCUPINE",3,"Porcupine"
"38","Degrasse","RACCOON",6,"Raccoon"
"39","Degrasse","RIVEROTTER",2,"River Otter"
"40","Degrasse","SOMETHINGHERE",21,"Something Here"
"41","Degrasse","SQUIRRELGRAY",3,"Gray Squirrel"
"42","Degrasse","SQUIRRELRED",8,"Red Squirrel"
"43","Degrasse","TURKEY",2,"Turkey"
"44","Donnerville","BLACKBEAR",2,"Black Bear"
"45","Donnerville","BLUEJAY",3,"Blue Jay"
"46","Donnerville","BOBCAT",1,"Bobcat"
"47","Donnerville","CHIPMUNK",39,"Chipmunk"
"48","Donnerville","COYOTE",3,"Coyote"
"49","Donnerville","DEERWHITETAILED",107,"White-tailed Deer"
"50","Donnerville","DOMESTICDOG",1,"Domestic Dog"
"51","Donnerville","FISHER",4,"Fisher"
"52","Donnerville","FOXRED",13,"Red Fox"
"53","Donnerville","GROUSERUFFED",3,"Ruffed Grouse"
"54","Donnerville","HUMAN",4,"Human"
"55","Donnerville","NOTHINGHERE",420,"Nothing Here"
"56","Donnerville","OTHERBIRD",37,"Other Bird"
"57","Donnerville","OTHERSMALLMAMMAL",18,"Other Small Mammal"
"58","Donnerville","OWL",1,"Owl"
"59","Donnerville","PORCUPINE",1,"Porcupine"
"60","Donnerville","RACCOON",8,"Raccoon"
"61","Donnerville","SOMETHINGHERE",11,"Something Here"
"62","Donnerville","SQUIRRELGRAY",4,"Gray Squirrel"
"63","Donnerville","SQUIRRELRED",1,"Red Squirrel"
"64","Donnerville","TURKEY",7,"Turkey"
"65","South Hammond","BLACKBEAR",6,"Black Bear"
"66","South Hammond","BLUEJAY",2,"Blue Jay"
"67","South Hammond","BOBCAT",1,"Bobcat"
"68","South Hammond","CHIPMUNK",61,"Chipmunk"
"69","South Hammond","COTTONTAILRABBIT",3,"Cottontail Rabbit"
"70","South Hammond","COYOTE",10,"Coyote"
"71","South Hammond","CROWORRAVEN",4,"Crow or Raven"
