"","subject_ids","diff_species","choice","Imj1","Imj2","Img3","CamNum","SD_card_num","ForestType","ForestName","round","Date_Out","Date_Checked","Use_End_Date","Forest","Species"
"1",39638664,1,"HUMAN","01_23_DEG_000001.JPG","01_23_DEG_000002.JPG","01_23_DEG_000003.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Human"
"2",39638692,1,"DEERWHITETAILED","01_23_DEG_000004.JPG","01_23_DEG_000005.JPG","01_23_DEG_000006.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","White-tailed Deer"
"3",39638739,1,"CHIPMUNK","01_23_DEG_000007.JPG","01_23_DEG_000008.JPG","01_23_DEG_000009.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Chipmunk"
"4",39638777,1,"COYOTE","01_23_DEG_000010.JPG","01_23_DEG_000011.JPG","01_23_DEG_000012.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Coyote"
"5",39638788,2,"SOMETHINGHERE","01_23_DEG_000013.JPG","01_23_DEG_000014.JPG","01_23_DEG_000015.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Something Here"
"6",39638804,2,"FISHER","01_23_DEG_000016.JPG","01_23_DEG_000017.JPG","01_23_DEG_000018.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Fisher"
"7",39638831,1,"COTTONTAILRABBIT","01_23_DEG_000019.JPG","01_23_DEG_000020.JPG","01_23_DEG_000021.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Cottontail Rabbit"
"8",39638837,1,"COTTONTAILRABBIT","01_23_DEG_000022.JPG","01_23_DEG_000023.JPG","01_23_DEG_000024.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Cottontail Rabbit"
"9",39638847,1,"COTTONTAILRABBIT","01_23_DEG_000025.JPG","01_23_DEG_000026.JPG","01_23_DEG_000027.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Cottontail Rabbit"
"10",39638862,1,"NOTHINGHERE","01_23_DEG_000028.JPG","01_23_DEG_000029.JPG","01_23_DEG_000030.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Nothing Here"
"11",39638882,1,"NOTHINGHERE","01_23_DEG_000031.JPG","01_23_DEG_000032.JPG","01_23_DEG_000033.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Nothing Here"
"12",39638904,1,"CHIPMUNK","01_23_DEG_000034.JPG","01_23_DEG_000035.JPG","01_23_DEG_000036.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Chipmunk"
"13",39638906,1,"CHIPMUNK","01_23_DEG_000037.JPG","01_23_DEG_000038.JPG","01_23_DEG_000039.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Chipmunk"
"14",39638920,1,"COTTONTAILRABBIT","01_23_DEG_000040.JPG","01_23_DEG_000042.JPG","01_23_DEG_000041.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Cottontail Rabbit"
"15",39638921,1,"DEERWHITETAILED","01_23_DEG_000043.JPG","01_23_DEG_000044.JPG","01_23_DEG_000045.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","White-tailed Deer"
"16",39638922,1,"COTTONTAILRABBIT","01_23_DEG_000046.JPG","01_23_DEG_000047.JPG","01_23_DEG_000048.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Cottontail Rabbit"
"17",39638930,1,"DEERWHITETAILED","01_23_DEG_000049.JPG","01_23_DEG_000051.JPG","01_23_DEG_000050.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","White-tailed Deer"
"18",39638935,1,"RACCOON","01_23_DEG_000052.JPG","01_23_DEG_000054.JPG","01_23_DEG_000053.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Raccoon"
"19",39638986,2,"CHIPMUNK","01_23_DEG_000055.JPG","01_23_DEG_000056.JPG","01_23_DEG_000057.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Chipmunk"
"20",39638989,1,"CHIPMUNK","01_23_DEG_000058.JPG","01_23_DEG_000059.JPG","01_23_DEG_000060.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Chipmunk"
"21",39639040,1,"CHIPMUNK","01_23_DEG_000061.JPG","01_23_DEG_000062.JPG","01_23_DEG_000063.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Chipmunk"
"22",39639044,1,"COTTONTAILRABBIT","01_23_DEG_000064.JPG","01_23_DEG_000066.JPG","01_23_DEG_000065.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Cottontail Rabbit"
"23",39639045,1,"DEERWHITETAILED","01_23_DEG_000067.JPG","01_23_DEG_000068.JPG","01_23_DEG_000069.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","White-tailed Deer"
"24",39639134,1,"CHIPMUNK","01_23_DEG_000070.JPG","01_23_DEG_000071.JPG","01_23_DEG_000072.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Chipmunk"
"25",39639136,1,"CHIPMUNK","01_23_DEG_000073.JPG","01_23_DEG_000074.JPG","01_23_DEG_000075.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Chipmunk"
"26",39639207,1,"DEERWHITETAILED","01_23_DEG_000076.JPG","01_23_DEG_000077.JPG","01_23_DEG_000078.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","White-tailed Deer"
"27",39639218,1,"COTTONTAILRABBIT","01_23_DEG_000079.JPG","01_23_DEG_000080.JPG","01_23_DEG_000081.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Cottontail Rabbit"
"28",39639247,1,"GROUSERUFFED","01_23_DEG_000083.JPG","01_23_DEG_000082.JPG",NA,1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Ruffed Grouse"
"29",39639304,1,"DEERWHITETAILED","01_23_DEG_000087.JPG","01_23_DEG_000085.JPG","01_23_DEG_000086.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","White-tailed Deer"
"30",39639307,1,"DEERWHITETAILED","01_23_DEG_000088.JPG","01_23_DEG_000089.JPG","01_23_DEG_000090.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","White-tailed Deer"
"31",39639401,1,"NOTHINGHERE","01_23_DEG_000091.JPG","01_23_DEG_000092.JPG","01_23_DEG_000093.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Nothing Here"
"32",39639426,1,"COTTONTAILRABBIT","01_23_DEG_000094.JPG","01_23_DEG_000095.JPG","01_23_DEG_000096.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Cottontail Rabbit"
"33",39639443,1,"SQUIRRELRED","01_23_DEG_000097.JPG","01_23_DEG_000098.JPG","01_23_DEG_000099.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Red Squirrel"
"34",39639494,2,"SOMETHINGHERE","01_23_DEG_000100.JPG","01_23_DEG_000101.JPG","01_23_DEG_000102.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Something Here"
"35",39639518,1,"NOTHINGHERE","01_23_DEG_000103.JPG","01_23_DEG_000104.JPG","01_23_DEG_000105.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Nothing Here"
