"","X1","subject_ids","diff_species","choice","Imj1","Imj2","Img3","CamNum","SD_card_num","ForestType","ForestName","round","Date_Out","Date_Checked","Use_End_Date","Forest","Species","Diet"
"1",2,39638692,1,"DEERWHITETAILED","01_23_DEG_000004.JPG","01_23_DEG_000005.JPG","01_23_DEG_000006.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","White-tailed Deer","Herbivore"
"2",3,39638739,1,"CHIPMUNK","01_23_DEG_000007.JPG","01_23_DEG_000008.JPG","01_23_DEG_000009.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Chipmunk","Omnivore"
"3",4,39638777,1,"COYOTE","01_23_DEG_000010.JPG","01_23_DEG_000011.JPG","01_23_DEG_000012.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Coyote","Mesocarnivore"
"4",6,39638804,2,"FISHER","01_23_DEG_000016.JPG","01_23_DEG_000017.JPG","01_23_DEG_000018.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Fisher","Mesocarnivore"
"5",7,39638831,1,"COTTONTAILRABBIT","01_23_DEG_000019.JPG","01_23_DEG_000020.JPG","01_23_DEG_000021.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Cottontail Rabbit","Herbivore"
"6",8,39638837,1,"COTTONTAILRABBIT","01_23_DEG_000022.JPG","01_23_DEG_000023.JPG","01_23_DEG_000024.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Cottontail Rabbit","Herbivore"
"7",9,39638847,1,"COTTONTAILRABBIT","01_23_DEG_000025.JPG","01_23_DEG_000026.JPG","01_23_DEG_000027.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Cottontail Rabbit","Herbivore"
"8",12,39638904,1,"CHIPMUNK","01_23_DEG_000034.JPG","01_23_DEG_000035.JPG","01_23_DEG_000036.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Chipmunk","Omnivore"
"9",13,39638906,1,"CHIPMUNK","01_23_DEG_000037.JPG","01_23_DEG_000038.JPG","01_23_DEG_000039.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Chipmunk","Omnivore"
"10",14,39638920,1,"COTTONTAILRABBIT","01_23_DEG_000040.JPG","01_23_DEG_000042.JPG","01_23_DEG_000041.JPG",1,23,"Pine","DEG",4,"9/27/19","11/17/19","11/17/19","Degrasse","Cottontail Rabbit","Herbivore"
